ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags.ack,tcp.flags.syn,tcp.flags.fin
"192.168.4.129","34.120.208.123","50426","443","1","0","0"
"192.168.4.129","34.120.208.123","50426","443","1","0","0"
"34.120.208.123","192.168.4.129","443","50426","1","0","0"
"34.120.208.123","192.168.4.129","443","50426","1","0","0"
"34.120.208.123","192.168.4.129","443","50426","1","0","0"
"34.120.208.123","192.168.4.129","443","50426","1","0","0"
"34.120.208.123","192.168.4.129","443","50426","1","0","0"
"192.168.4.129","34.120.208.123","50426","443","1","0","0"
"192.168.4.129","34.120.208.123","50426","443","1","0","0"
"34.120.208.123","192.168.4.129","443","50426","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","0","1","0"
"146.75.29.140","192.168.4.129","443","33446","1","1","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","0","1","0"
"192.168.4.129","146.75.29.140","33478","443","0","1","0"
"192.168.4.129","146.75.29.140","33484","443","0","1","0"
"192.168.4.129","146.75.29.140","33494","443","0","1","0"
"192.168.4.129","146.75.29.140","33498","443","0","1","0"
"192.168.4.129","146.75.29.140","33512","443","0","1","0"
"192.168.4.129","146.75.29.140","33518","443","0","1","0"
"192.168.4.129","146.75.29.140","33520","443","0","1","0"
"192.168.4.129","34.149.100.209","47794","443","0","1","0"
"146.75.29.140","192.168.4.129","443","33462","1","1","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33478","1","1","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33498","1","1","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33484","1","1","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33494","1","1","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33520","1","1","0"
"192.168.4.129","146.75.29.140","33520","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33518","1","1","0"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33512","1","1","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"192.168.4.129","146.75.29.140","33520","443","1","0","0"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"34.149.100.209","192.168.4.129","443","47794","1","1","0"
"192.168.4.129","34.149.100.209","47794","443","1","0","0"
"192.168.4.129","34.149.100.209","47794","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33478","1","0","0"
"146.75.29.140","192.168.4.129","443","33478","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33478","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33478","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33520","1","0","0"
"192.168.4.129","146.75.29.140","33520","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33478","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33520","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33518","1","0","0"
"146.75.29.140","192.168.4.129","443","33518","1","0","0"
"146.75.29.140","192.168.4.129","443","33518","1","0","0"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33518","1","0","0"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33518","1","0","0"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"34.149.100.209","192.168.4.129","443","47794","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33512","1","0","0"
"146.75.29.140","192.168.4.129","443","33512","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33512","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33512","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33498","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33498","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33498","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33498","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33494","1","0","0"
"146.75.29.140","192.168.4.129","443","33494","1","0","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33494","1","0","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33494","1","0","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33484","1","0","0"
"146.75.29.140","192.168.4.129","443","33484","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33484","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33484","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"34.149.100.209","192.168.4.129","443","47794","1","0","0"
"192.168.4.129","34.149.100.209","47794","443","1","0","0"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"192.168.4.129","34.149.100.209","47794","443","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","0"
"192.168.4.129","146.75.29.140","33478","443","1","0","1"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"192.168.4.129","146.75.29.140","33518","443","1","0","0"
"192.168.4.129","34.149.100.209","47794","443","1","0","0"
"192.168.4.129","34.149.100.209","47794","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","0"
"192.168.4.129","146.75.29.140","33512","443","1","0","1"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","0"
"192.168.4.129","146.75.29.140","33498","443","1","0","1"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"192.168.4.129","146.75.29.140","33462","443","1","0","0"
"146.75.29.140","192.168.4.129","443","33446","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","0"
"192.168.4.129","146.75.29.140","33484","443","1","0","1"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"146.75.29.140","192.168.4.129","443","33462","1","0","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","0"
"192.168.4.129","146.75.29.140","33494","443","1","0","1"
"192.168.4.129","146.75.29.140","33446","443","1","0","0"
