ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.mss_val,label
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16381,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,20.88.154.174,37594,443,501,0x0018,,0
20.88.154.174,192.168.4.133,443,37594,501,0x0018,,0
192.168.4.133,20.88.154.174,37594,443,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16382,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16382,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,64240,0x0002,1460.0,0
185.199.109.154,192.168.4.133,443,58438,64240,0x0002,1460.0,0
185.199.108.133,192.168.4.133,443,45374,64240,0x0002,1460.0,0
192.168.4.133,185.199.108.133,45374,443,65535,0x0012,1460.0,0
185.199.108.133,192.168.4.133,443,45374,502,0x0010,,0
185.199.108.133,192.168.4.133,443,45374,502,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,65535,0x0012,1460.0,0
185.199.109.154,192.168.4.133,443,58438,502,0x0010,,0
185.199.109.154,192.168.4.133,443,58438,502,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,65535,0x0012,1436.0,0
140.82.112.3,192.168.4.133,443,52748,502,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,502,0x0018,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,282,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0018,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0018,,0
185.199.108.133,192.168.4.133,443,45374,496,0x0010,,0
185.199.108.133,192.168.4.133,443,45374,488,0x0010,,0
185.199.108.133,192.168.4.133,443,45374,488,0x0018,,0
185.199.108.133,192.168.4.133,443,45374,501,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,282,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0018,,0
185.199.109.154,192.168.4.133,443,58438,496,0x0010,,0
185.199.109.154,192.168.4.133,443,58438,488,0x0010,,0
185.199.109.154,192.168.4.133,443,58438,488,0x0018,,0
185.199.109.154,192.168.4.133,443,58438,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,287,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,287,0x0018,,0
185.199.108.133,192.168.4.133,443,45374,501,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,287,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,287,0x0018,,0
185.199.109.154,192.168.4.133,443,58438,501,0x0018,,0
192.168.4.133,185.199.108.133,45374,443,287,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,287,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,67,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
