Source,Destination,Protocol,Length,src_port,dst_port,flags,Seq,Win
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,496
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,496
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,496
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,496
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,496
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,480
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,496
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,496
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,501
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,524
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,569
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,1,603
34.149.100.209,192.168.4.133,TCP,66,443,473,ACK,32994,273
192.168.4.133,34.160.144.191,TCP,74,4627,443,SYN,0,64240
34.160.144.191,192.168.4.133,TCP,74,443,4627,SYN ACK,0,65535
192.168.4.133,34.160.144.191,TCP,66,4627,443,ACK,1,64256
192.168.4.133,34.160.144.191,TCP,66,4627,443,ACK,217,63488
192.168.4.133,34.160.144.191,TCP,66,4627,443,ACK,217,61952
34.160.144.191,192.168.4.133,TCP,66,443,4627,ACK,1,66816
192.168.4.133,34.160.144.191,TCP,66,4627,443,ACK,310,64128
34.160.144.191,192.168.4.133,TCP,66,443,4627,ACK,4805,68864
192.168.4.133,34.160.144.191,TCP,66,4627,443,ACK,760,60800
34.160.144.191,192.168.4.133,TCP,66,443,4627,ACK,10630,68864
34.107.243.93,192.168.4.133,TCP,66,443,46196,ACK,1,265
34.149.100.209,192.168.4.133,TCP,66,443,473,ACK,32994,273
192.168.4.133,34.107.221.82,TCP,66,38062,8,ACK,296,501
192.168.4.133,34.107.243.93,TCP,66,46196,443,ACK,40,501
192.168.4.133,34.149.100.209,TCP,66,473,443,ACK,93,603
34.107.243.93,192.168.4.133,TCP,66,443,46202,ACK,1,272
192.168.4.133,34.107.243.93,TCP,66,46202,443,ACK,33,501
192.168.4.133,20.88.154.174,TCP,74,57436,443,SYN,0,64240
20.88.154.174,192.168.4.133,TCP,74,443,57436,SYN ACK,0,65160
192.168.4.133,20.88.154.174,TCP,66,57436,443,ACK,1,64256
20.88.154.174,192.168.4.133,TCP,66,443,57436,ACK,1,64768
