ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
20.189.173.2,192.168.4.133,443,41444,501,0x0018
20.189.173.2,192.168.4.133,443,41444,501,0x0018
20.189.173.2,192.168.4.133,443,41444,501,0x0010
20.189.173.2,192.168.4.133,443,41444,501,0x0018
192.168.4.133,20.189.173.2,41444,443,16381,0x0010
192.168.4.133,20.189.173.2,41444,443,16386,0x0010
192.168.4.133,20.189.173.2,41444,443,16386,0x0018
20.189.173.2,192.168.4.133,443,41444,501,0x0010
192.168.4.133,20.189.173.2,41444,443,16386,0x0018
20.189.173.2,192.168.4.133,443,41444,501,0x0010
20.189.173.2,192.168.4.133,443,41444,501,0x0018
192.168.4.133,20.189.173.2,41444,443,16386,0x0010
192.168.4.133,20.88.154.174,42508,443,501,0x0018
20.88.154.174,192.168.4.133,443,42508,501,0x0018
192.168.4.133,20.88.154.174,42508,443,501,0x0010
34.107.243.93,192.168.4.133,443,55830,501,0x0018
34.149.100.209,192.168.4.133,443,37278,501,0x0018
192.168.4.133,34.107.243.93,55830,443,267,0x0010
192.168.4.133,34.107.243.93,55830,443,267,0x0018
192.168.4.133,34.149.100.209,37278,443,273,0x0010
192.168.4.133,34.149.100.209,37278,443,273,0x0018
34.107.243.93,192.168.4.133,443,55830,501,0x0010
34.149.100.209,192.168.4.133,443,37278,501,0x0010
192.168.4.20,192.168.4.133,199,51063,1024,0x0002
192.168.4.29,192.168.4.133,199,51063,1024,0x0002
192.168.4.76,192.168.4.133,199,51063,1024,0x0002
192.168.4.77,192.168.4.133,199,51063,1024,0x0002
192.168.4.78,192.168.4.133,199,51063,1024,0x0002
192.168.4.106,192.168.4.133,199,51063,1024,0x0002
192.168.4.111,192.168.4.133,199,51063,1024,0x0002
192.168.4.113,192.168.4.133,199,51063,1024,0x0002
192.168.4.1,192.168.4.133,199,51063,1024,0x0002
192.168.4.133,192.168.4.1,51063,199,0,0x0014
192.168.4.133,192.168.4.113,51063,199,0,0x0014
192.168.4.76,192.168.4.133,23,51063,1024,0x0002
192.168.4.77,192.168.4.133,23,51063,1024,0x0002
192.168.4.78,192.168.4.133,23,51063,1024,0x0002
192.168.4.106,192.168.4.133,23,51063,1024,0x0002
192.168.4.133,192.168.4.76,51063,199,0,0x0014
192.168.4.133,192.168.4.20,51063,199,0,0x0014
192.168.4.1,192.168.4.133,23,51063,1024,0x0002
192.168.4.20,192.168.4.133,23,51063,1024,0x0002
192.168.4.29,192.168.4.133,23,51063,1024,0x0002
192.168.4.133,192.168.4.111,51063,199,14000,0x0014
192.168.4.133,192.168.4.29,51063,199,0,0x0014
192.168.4.133,192.168.4.78,51063,199,0,0x0014
192.168.4.133,192.168.4.1,51063,23,0,0x0014
192.168.4.78,192.168.4.133,445,51063,1024,0x0002
192.168.4.106,192.168.4.133,445,51063,1024,0x0002
192.168.4.111,192.168.4.133,23,51063,1024,0x0002
192.168.4.113,192.168.4.133,23,51063,1024,0x0002
192.168.4.1,192.168.4.133,445,51063,1024,0x0002
192.168.4.20,192.168.4.133,445,51063,1024,0x0002
192.168.4.29,192.168.4.133,445,51063,1024,0x0002
192.168.4.133,192.168.4.1,51063,445,0,0x0014
192.168.4.78,192.168.4.133,111,51063,1024,0x0002
192.168.4.106,192.168.4.133,111,51063,1024,0x0002
192.168.4.133,192.168.4.106,51063,23,0,0x0014
192.168.4.133,192.168.4.106,51063,199,0,0x0014
192.168.4.133,192.168.4.78,51063,23,0,0x0014
192.168.4.133,192.168.4.76,51063,23,0,0x0014
192.168.4.133,192.168.4.113,51063,23,0,0x0014
192.168.4.1,192.168.4.133,111,51063,1024,0x0002
192.168.4.20,192.168.4.133,111,51063,1024,0x0002
192.168.4.29,192.168.4.133,111,51063,1024,0x0002
192.168.4.76,192.168.4.133,445,51063,1024,0x0002
192.168.4.77,192.168.4.133,445,51063,1024,0x0002
192.168.4.78,192.168.4.133,8888,51063,1024,0x0002
192.168.4.106,192.168.4.133,8888,51063,1024,0x0002
192.168.4.111,192.168.4.133,445,51063,1024,0x0002
192.168.4.113,192.168.4.133,445,51063,1024,0x0002
192.168.4.133,192.168.4.20,51063,445,0,0x0014
192.168.4.133,192.168.4.20,51063,23,0,0x0014
192.168.4.133,192.168.4.111,51063,23,14000,0x0014
192.168.4.133,192.168.4.78,51063,445,0,0x0014
192.168.4.133,192.168.4.29,51063,445,0,0x0014
192.168.4.133,192.168.4.29,51063,23,0,0x0014
192.168.4.133,192.168.4.1,51063,111,0,0x0014
192.168.4.20,192.168.4.133,8888,51063,1024,0x0002
192.168.4.29,192.168.4.133,8888,51063,1024,0x0002
192.168.4.76,192.168.4.133,111,51063,1024,0x0002
192.168.4.77,192.168.4.133,111,51063,1024,0x0002
192.168.4.78,192.168.4.133,21,51063,1024,0x0002
192.168.4.106,192.168.4.133,21,51063,1024,0x0002
192.168.4.111,192.168.4.133,111,51063,1024,0x0002
192.168.4.113,192.168.4.133,111,51063,1024,0x0002
192.168.4.1,192.168.4.133,8888,51063,1024,0x0002
192.168.4.20,192.168.4.133,21,51063,1024,0x0002
192.168.4.29,192.168.4.133,21,51063,1024,0x0002
192.168.4.76,192.168.4.133,8888,51063,1024,0x0002
192.168.4.77,192.168.4.133,8888,51063,1024,0x0002
192.168.4.133,192.168.4.113,51063,445,0,0x0014
192.168.4.133,192.168.4.20,51063,111,0,0x0014
