ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.2.15,192.168.2.23,8009,35439,1024,0x0002
192.168.2.23,192.168.2.15,35439,8009,65535,0x0012
192.168.2.15,192.168.2.23,8009,35439,0,0x0004
192.168.2.15,192.168.2.23,8009,38144,64240,0x0002
192.168.2.23,192.168.2.15,38144,8009,65535,0x0012
192.168.2.15,192.168.2.23,8009,38144,502,0x0010
192.168.2.15,192.168.2.23,8009,38144,502,0x0018
192.168.2.23,192.168.2.15,38144,8009,1358,0x0010
192.168.2.23,192.168.2.15,38144,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,38144,501,0x0010
192.168.2.23,192.168.2.15,38144,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,38144,501,0x0010
192.168.2.15,192.168.2.23,8009,38144,501,0x0011
192.168.2.15,192.168.2.23,8009,52836,64240,0x0002
192.168.2.15,192.168.2.23,8009,52852,64240,0x0002
192.168.2.15,192.168.2.23,8009,52854,64240,0x0002
192.168.2.23,192.168.2.15,38144,8009,1358,0x0011
192.168.2.15,192.168.2.23,8009,38144,501,0x0010
192.168.2.23,192.168.2.15,52836,8009,65535,0x0012
192.168.2.23,192.168.2.15,52852,8009,65535,0x0012
192.168.2.23,192.168.2.15,52854,8009,65535,0x0012
192.168.2.15,192.168.2.23,8009,52836,502,0x0010
192.168.2.15,192.168.2.23,8009,52852,502,0x0010
192.168.2.15,192.168.2.23,8009,52854,502,0x0010
192.168.2.15,192.168.2.23,8009,52836,502,0x0018
192.168.2.15,192.168.2.23,8009,52852,502,0x0018
192.168.2.15,192.168.2.23,8009,52854,502,0x0018
192.168.2.23,192.168.2.15,52836,8009,1377,0x0010
192.168.2.23,192.168.2.15,52852,8009,1358,0x0010
192.168.2.23,192.168.2.15,52854,8009,1358,0x0010
192.168.2.23,192.168.2.15,52852,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52852,501,0x0010
192.168.2.23,192.168.2.15,52854,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52854,501,0x0010
192.168.2.23,192.168.2.15,52852,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52852,501,0x0010
192.168.2.23,192.168.2.15,52854,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52854,501,0x0010
192.168.2.23,192.168.2.15,52836,8009,1377,0x0018
192.168.2.15,192.168.2.23,8009,52836,501,0x0010
192.168.2.15,192.168.2.23,8009,52854,501,0x0014
192.168.2.23,192.168.2.15,52836,8009,1377,0x0018
192.168.2.15,192.168.2.23,8009,52836,501,0x0010
192.168.2.15,192.168.2.23,8009,52836,501,0x0011
192.168.2.15,192.168.2.23,8009,52852,501,0x0011
192.168.2.15,192.168.2.23,8009,52860,64240,0x0002
192.168.2.23,192.168.2.15,52860,8009,65535,0x0012
192.168.2.23,192.168.2.15,52852,8009,1358,0x0011
192.168.2.15,192.168.2.23,8009,52860,502,0x0010
192.168.2.15,192.168.2.23,8009,52852,501,0x0010
192.168.2.23,192.168.2.15,52836,8009,1377,0x0018
192.168.2.23,192.168.2.15,52836,8009,1377,0x0019
192.168.2.15,192.168.2.23,8009,52836,0,0x0004
192.168.2.15,192.168.2.23,8009,52836,0,0x0004
192.168.2.15,192.168.2.23,8009,52870,64240,0x0002
192.168.2.15,192.168.2.23,8009,52860,502,0x0018
192.168.2.23,192.168.2.15,52870,8009,65535,0x0012
192.168.2.23,192.168.2.15,52860,8009,1358,0x0010
192.168.2.15,192.168.2.23,8009,52870,502,0x0010
192.168.2.15,192.168.2.23,8009,52870,502,0x0018
192.168.2.23,192.168.2.15,52860,8009,1358,0x0018
192.168.2.23,192.168.2.15,52870,8009,1358,0x0010
192.168.2.15,192.168.2.23,8009,52860,501,0x0010
192.168.2.23,192.168.2.15,52860,8009,1358,0x0018
192.168.2.23,192.168.2.15,52870,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52860,501,0x0010
192.168.2.15,192.168.2.23,8009,52870,501,0x0010
192.168.2.15,192.168.2.23,8009,52860,501,0x0011
192.168.2.23,192.168.2.15,52870,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52870,501,0x0010
192.168.2.15,192.168.2.23,8009,52870,501,0x0011
192.168.2.23,192.168.2.15,52860,8009,1358,0x0011
192.168.2.15,192.168.2.23,8009,52860,501,0x0010
192.168.2.15,192.168.2.23,8009,52872,64240,0x0002
192.168.2.23,192.168.2.15,52870,8009,1358,0x0011
192.168.2.15,192.168.2.23,8009,52870,501,0x0010
192.168.2.23,192.168.2.15,52872,8009,65535,0x0012
192.168.2.15,192.168.2.23,8009,52872,502,0x0010
192.168.2.15,192.168.2.23,8009,52872,502,0x0018
192.168.2.23,192.168.2.15,52872,8009,1358,0x0010
192.168.2.23,192.168.2.15,52872,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52872,501,0x0010
192.168.2.15,192.168.2.23,8009,52872,501,0x0011
192.168.2.15,192.168.2.23,8009,52880,64240,0x0002
192.168.2.23,192.168.2.15,52872,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52872,0,0x0004
192.168.2.23,192.168.2.15,52880,8009,65535,0x0012
192.168.2.23,192.168.2.15,52872,8009,1358,0x0011
192.168.2.15,192.168.2.23,8009,52880,502,0x0010
192.168.2.15,192.168.2.23,8009,52872,0,0x0004
192.168.2.15,192.168.2.23,8009,52880,502,0x0018
192.168.2.23,192.168.2.15,52880,8009,1358,0x0010
192.168.2.23,192.168.2.15,52880,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52880,501,0x0010
192.168.2.15,192.168.2.23,8009,52880,501,0x0011
192.168.2.23,192.168.2.15,52880,8009,1358,0x0018
192.168.2.15,192.168.2.23,8009,52880,0,0x0004
192.168.2.23,192.168.2.15,52880,8009,1358,0x0011
192.168.2.15,192.168.2.23,8009,52880,0,0x0004
